timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1540469353496,68,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,8,64,0,1
1540469353564,56,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,8,52,0,0
1540469353620,61,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,8,51,0,0
1540469353681,62,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,9,55,0,0
1540469353743,55,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,9,45,0,0
1540469353798,61,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,10,59,0,0
1540469353859,44,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,10,42,0,0
1540469353903,85,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,10,82,0,0
1540469353988,62,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,11,45,0,0
1540469354050,132,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,12,129,0,0
1540469354182,59,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,12,58,0,0
1540469354242,162,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,13,159,0,0
1540469354404,81,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,14,80,0,0
1540469354485,118,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,15,115,0,0
1540469354603,80,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,15,65,0,0
1540469354683,38,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,15,35,0,0
1540469354721,207,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,17,206,0,0
1540469354928,86,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,17,84,0,0
1540469355014,34,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,17,32,0,0
1540469355048,85,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,18,80,0,0
1540469355133,97,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,19,94,0,0
1540469355230,133,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,20,132,0,0
1540469355363,147,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,21,146,0,0
1540469355510,69,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,21,67,0,1
1540469355579,280,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,23,278,0,0
1540469355860,195,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,24,188,0,0
1540469356055,132,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,25,130,0,0
1540469356187,217,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,27,213,0,0
1540469356404,89,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,27,72,0,0
1540469356494,82,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,28,81,0,0
1540469356577,358,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,30,355,0,0
1540469356935,421,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,33,418,0,0
1540469357356,194,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,34,192,0,0
1540469357550,459,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,37,446,0,1
1540469358009,250,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,39,100,0,0
1540469358259,490,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,42,489,0,0
1540469358749,590,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,46,587,0,0
1540469359339,295,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,48,293,0,0
